Species,13/14,14/15,15/16,16/17,17/18,MaximalMonth,Mean5yr,Mean12/13-17/18
Teal,600,50,40,50,120,Jan,172,172, 
Wigeon,320,200,0,100,60,Nov,136,136, 
Greylag Goose (British/Irish),150,180,4,6,6,May,69,69, 
Greylag Goose,150,180,4,6,6,May,69,69, 
Mallard,140,30,10,40,40,Feb,52,52, 
Canada Goose,70,30,10,10,90,Feb,42,42, 
Gadwall,62,10,6,21,8,May,21,21, 
Pink-footed Goose,10,0,0,0,44,Jan,11,11, 
Shoveler,17,6,0,0,12,Dec,7,7, 
Shelduck,3,2,2,2,2,Feb,2,2, 
Mute Swan,7,0,0,0,2,Nov,2,2, 
Tufted Duck,6,0,0,0,0, ,1,1, 
Whooper Swan,2,0,0,0,0, ,0,0, 
Goosander,0,0,0,0,0, ,0,0, 
Garganey,0,0,0,0,0, ,0,0, 
White-fronted Goose (European - albifrons),0,0,0,0,0, ,0,0, 
White-fronted Goose,0,0,0,0,0, ,0,0, 
