Site▲▼,13/14▲▼,14/15▲▼,15/16▲▼,16/17▲▼,17/18▲▼,Mon,Moving5yr avg▲▼,13/14-17/185yr avg▲▼,WebPageNo,RoughTimeAccessed
Severn Estuary,302,348,367.0,347,362.0,Nov,345,345,1,2019-12-02 18:56:13
Severn Estuary (English counties),256,300,322.0,288,314.0,Nov,296,296,1,2019-12-02 18:56:13
Dearne Valley,269,231,207.0,304,261.0,Jul,254,254,1,2019-12-02 18:56:13
Rutland Water,152,228,190.0,238,259.0,Nov,213,213,1,2019-12-02 18:56:13
Lee Valley Gravel Pits,181,271,211.0,188,159.0,Sep,202,202,1,2019-12-02 18:56:13
Pitsford Reservoir,181,254,177.0,200,155.0,Aug,193,193,1,2019-12-02 18:56:13
Lower Derwent Ings,178,233,199.0,121,231.0,Apr,192,192,1,2019-12-02 18:56:13
WWT Washington,56,90,256.0,303,212.0,Apr,183,183,1,2019-12-02 18:56:13
Thames Estuary,160,224,183.0,165,153.0,Dec,177,177,1,2019-12-02 18:56:13
Cotswold Water Park,163,161,189.0,167,188.0,Oct,174,174,1,2019-12-02 18:56:13
Chew Valley Lake,170,145,230.0,150,135.0,Sep,166,166,1,2019-12-02 18:56:13
London Wetland Centre,164,161,164.0,155,158.0,Sep,160,160,1,2019-12-02 18:56:13
River Wandle - Carshalton to Wandsworth,153,164,141.0,179,134.0,Dec,154,154,1,2019-12-02 18:56:13
Arun Valley,161,189,120.0,170,105.0,Oct,149,149,1,2019-12-02 18:56:13
Grand Western Canal: Greenway Bridge to Fossend Bridge,192,165,142.0,135,111.0,Aug,149,149,1,2019-12-02 18:56:13
Loughs Neagh and Beg,136,160,133.0,143,134.0,Oct,141,141,1,2019-12-02 18:56:13
WWT Martin Mere,180,200,88.0,86,140.0,Jan,139,139,1,2019-12-02 18:56:13
North Norfolk Coast,153,162,158.0,115,79.0,Jul,133,133,1,2019-12-02 18:56:13
Blagdon Lake,92,98,167.0,162,111.0,Sep,126,126,1,2019-12-02 18:56:13
Dee Estuary (England and Wales),140,100,117.0,125,87.0,Dec,114,114,1,2019-12-02 18:56:13
Chichester Canal,103,119,100.0,112,103.0,Nov,107,107,1,2019-12-02 18:56:13
Stanwick Gravel Pits Consolidated,99,107,129.0,101,101.0,Sep,107,107,1,2019-12-02 18:56:13
Grimley New Workings,(80),90,91.0,112,100.0,Jan,98,98,1,2019-12-02 18:56:13
Grantham Canal - Cotgrave to Gamston,110,112,81.0,72,101.0,Mar,95,95,1,2019-12-02 18:56:13
"Leeds Castle, Kent",nan,nan,nan,nan,93.0,Nov,93,93,1,2019-12-02 18:56:13
Cotswold Water Park (West),82,101,nan,nan,nan,nan,92,92,1,2019-12-02 18:56:13
Ingrebourne Valley,81,100,nan,nan,nan,nan,91,91,1,2019-12-02 18:56:13
Colne Valley Gravel Pits,96,89,67.0,95,68.0,Feb,83,83,1,2019-12-02 18:56:13
Tring Reservoirs,63,(108),79.0,86,74.0,Nov,82,82,1,2019-12-02 18:56:13
Southampton Water,83,110,71.0,(64),58.0,Feb,81,81,1,2019-12-02 18:56:13
