Species,,13/14,14/15,15/16,16/17,17/18,,MaximalMonthOf18,Mean5yr,Mean12/13-17/18
Canada Goose,nan,225,160,85,390,205,nan,Sep,213,213,nan
Teal,nan,9,30,(20),23,67,nan,Jan,32,32,nan
Mallard,nan,23,61,31,34,9,nan,Feb,32,32,nan
Mute Swan,nan,34,6,5,37,46,nan,Feb,26,26,nan
Tufted Duck,nan,18,45,24,27,12,nan,Dec,25,25,nan
Wigeon,nan,30,17,11,12,27,nan,Dec,19,19,nan
Greylag Goose (British/Irish),nan,2,11,0,29,0,nan,nan,8,8,nan
Greylag Goose,nan,2,11,0,29,0,nan,nan,8,8,nan
Goldeneye,nan,1,3,6,6,3,nan,Jan,4,4,nan
Whooper Swan,nan,7,1,0,2,0,nan,nan,2,2,nan
Goosander,nan,0,1,(1),1,1,nan,Nov,1,1,nan
Pochard,nan,0,4,0,0,0,nan,nan,1,1,nan
Pink-footed Goose,nan,0,2,0,0,0,nan,nan,0,0,nan
Ruddy Duck,nan,0,0,0,0,0,nan,nan,0,0,nan
Long-tailed Duck,nan,0,0,0,0,0,nan,nan,0,0,nan
Scaup,nan,0,0,0,0,0,nan,nan,0,0,nan
Pintail,nan,0,0,0,0,0,nan,nan,0,0,nan
Gadwall,nan,0,0,0,0,0,nan,nan,0,0,nan
Shoveler,nan,0,0,0,0,0,nan,nan,0,0,nan
Mandarin Duck,nan,0,0,0,0,0,nan,nan,0,0,nan
Bewick's Swan,nan,0,0,0,0,0,nan,nan,0,0,nan
Barnacle Goose (Svalbard),nan,0,0,0,0,0,nan,nan,0,0,nan
Barnacle Goose (Greenland),nan,0,0,0,0,0,nan,nan,0,0,nan
Barnacle Goose (naturalised),nan,0,0,0,0,0,nan,nan,0,0,nan
Barnacle Goose,nan,0,0,0,0,0,nan,nan,0,0,nan
END,END,END,END,END,END,END,END,END,END
